ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,FcwID0,FcwId1,FcwId2,FcwTTc,FcwPet,ObdCarYawRate,DaiShiYawRate,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,AgcSw,AgcType,DbfMag,FrameIntervalTime,installAngleOffset,ObjLength,ObjWidth,x rms,y rms,vx rms,vy rms,ax rms,ay rms,A rms,MeasCounter,MAtr,AccX,AccY,AccZ,errorCode
START,FrameNb:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/07/01 17:27:33:897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,44.2,-9.6,-16,22,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,188,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
47,45.4,-9.6,-16,22,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,187,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
48,25.4,-9.4,25,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,177,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
49,26.8,-9.4,23,19,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,172,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
50,23.6,-9.4,27,27,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,195,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
51,33.8,-9.4,-21,29,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,201,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
52,35.8,-9.4,-20,20,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,189,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
53,22.2,-9.2,28,26,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,199,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
54,23.2,-9.2,28,24,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,185,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
55,31.8,-9.2,-22,26,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,197,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
56,29.6,-9,28,20,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,188,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
57,30,-9,-24,21,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,186,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
58,20.2,-9,30,34,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,214,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
59,28.2,-9,-26,22,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,180,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
60,20,-8.8,31,25,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,199,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
61,26.6,-8.8,-28,19,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,179,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
62,33.6,-8.6,-29,19,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,174,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
63,33.6,-8.6,-30,15,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,162,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
64,15,-8,17,18,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,166,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
65,28.6,-8,-36,14,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,166,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
66,14,-7.6,18,8,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,150,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
67,50,-6.2,13,12,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,158,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
68,36.2,-5.4,28,2,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,135,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
69,58.2,-2.8,18,7,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,153,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
END,Total:70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,FrameNb:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
