START,FrameNb:5000,,,
16,88,-2,2.5,15
17,94.6,-15.2,-3.5,14
18,102.4,4.2,3,16
19,111,-2.8,3,17
20,121.2,2.4,4.25,15
21,129.8,0.2,0.75,16
22,133.2,4.2,0,14
23,135.6,-15,12.75,6
24,173.4,-2.6,4.75,8
25,174,-15.2,2,13
26,190.4,-2,3.75,16
27,208.2,-15.2,0,11
28,1024,0,-31.25,19
29,5.6,2.2,-18,14
30,11.8,0,-30.75,18
31,12.2,0,-30.75,18
32,15.8,-1.4,12,14
33,16.6,-1.4,15,14
34,17.2,-1.4,17.25,15
35,18.4,-1.4,14,14
36,19.8,-1.4,11.25,15
37,20.8,-1.6,10.5,14
38,22,-1.6,8.75,14
39,23.4,-1.6,9.5,14
40,25.4,-1.6,8.5,14
41,27,-1.6,9.5,15
42,28.4,-1.4,-11.25,14
43,43.4,0,-6,19
44,43.6,-14.2,23.5,12
45,44.8,0,-6.5,0
46,45,2,-1.25,15
47,46.2,-13.6,30.75,9
48,45.8,2,-2.75,12
49,50,-14.4,22,7
50,49.8,1.4,2,15
51,50.8,1.4,3,15
52,51.8,1.4,2.5,11
53,53.6,11.6,18,10
54,55.2,-14.2,23,12
55,59.8,-0.2,-4,13
56,60.6,-14.2,22.75,14
57,61,-1.4,6.5,15
58,61.6,-1.4,6,13
59,62.6,-1.4,6.75,14
60,63.4,-1.4,7,14
61,65.8,-1.4,5.75,11
62,70.6,-12.8,35.5,11
63,74.4,-13.2,-26,12
64,74.4,2.4,-0.25,15
65,84,-13.6,30.25,12
66,94.6,-15.4,-3,12
67,104.4,2.8,58,13
END,Total:68,,,
START,FrameNb:5899,,,
2020/08/09 14:16:26:062,,,,
1.60E+12,,,,
0,5.8,2.2,-22,14
1,16.2,-1.4,12.75,17
2,23.8,-1.4,8,20
3,26.4,-1.4,5.75,20
4,26.4,-1.4,13.5,19
5,43.4,0,-8.25,20
6,43.4,0,-2.25,19
7,45.2,2,-4.5,17
8,45.2,2,4.5,16
9,50.4,1.4,0.5,20
10,50.4,1.4,8,19
11,59.8,-0.2,-6.25,17
12,59.8,-0.2,1.5,16
13,61.4,-1.2,5.75,17
14,64.8,-1.2,5.25,14
15,74.2,6.4,8.75,1
16,75,2.4,-0.25,18
17,88,-2,2.5,15
18,95.6,78.4,5.25,10
19,102.4,4.2,3,16
20,111,-2.8,3,17
21,121.2,2.4,4.25,15
22,129.8,0.2,0.75,16
23,133.2,4.2,0,14
24,174,-15.2,2,13
25,190.4,-2,3.75,16
26,208.2,-15.2,0,11
27,1024,-15.2,0,11
28,5.8,2.4,-18,14
29,9.4,2.4,-8.5,14
30,11.6,0,-30.75,20
31,12.4,0,-32,14
32,16,-1.4,11.5,14
33,17.4,-1.4,15.75,14
34,18.2,-1.4,14.75,14
35,19.8,-1.4,10.75,14
36,19.6,-1.4,12.25,15
37,21,-1.6,10.25,14
38,22.6,-1.6,9.5,15
39,23.8,-1.6,10.5,13
40,24.8,-1.6,8.5,12
41,26.4,-1.6,8,15
42,27.6,-1.4,9.5,15
43,28.2,-1.4,-10.75,13
44,34.4,-12,40.5,12
45,43.4,0,-6,20
46,44.2,-14.2,23.75,7
47,44.4,0,-6,12
48,45,2,-1.5,15
49,46.2,2,-1.75,14
50,50,1.4,4,15
51,50.8,1.4,3,15
52,51.6,1.4,2.5,13
53,52.8,-13.8,26.75,14
54,53.6,11.8,17.25,14
55,54.2,-14.2,23.75,13
56,54.8,11.4,18.25,12
57,59.8,-14.2,23.25,15
58,59.6,-0.2,-4,14
59,60.8,-1.4,6.75,15
60,61.2,-1.4,5.75,15
61,62.6,-1.4,6.75,14
62,64.2,-1.4,5.25,9
63,65.8,-1.4,6,11
64,67,-1.4,6,14
65,68,-3.2,5,10
66,74.6,2.4,-0.5,15
67,82.6,-13.6,30.25,12
68,83.8,-13.6,30.5,14
69,102.4,4.2,0.5,13
70,104.6,2.8,57.5,13
END,Total:71,,,
START,FrameNb:5900,,,
2020/08/09 14:16:26:126,,,,
1.60E+12,,,,
0,5.8,2.2,-22,14
1,16.2,-1.4,12.75,17
2,23.8,-1.4,8,20
3,26.4,-1.4,5.75,20
4,26.4,-1.4,13.5,19
5,43.4,0,-8.25,20
6,43.4,0,-2.25,19
7,45.2,2,-4.5,17
8,45.2,2,4.5,16
9,50.4,1.2,0.5,20
10,50.4,1.2,8,19
11,59.8,-0.2,-6.25,17
12,59.8,-0.2,1.5,16
13,60.6,-1.4,5.75,16
14,67.4,-1.4,7,17
15,72.4,6.4,7.75,13
16,75,2.4,0.75,18
17,88,-2,3.75,11
18,102.4,4.2,0,16
19,102.4,-15,7.5,10
20,111,-2.8,3.75,17
21,115.2,-15.2,7.75,10
22,121.2,2.4,5.25,12
23,128.8,-15.2,7,7
24,130.6,0.2,0.25,16
25,134,4,0,11
26,172.4,-15.2,1.75,13
27,189.6,-2,4.25,16
28,1024,2.4,-18,14
29,6,2.4,-17.75,15
30,11.6,0,-30.75,21
31,12.4,0,-33.5,17
32,15.4,-11.4,-38.5,14
33,17.2,-1.4,15.75,14
34,18,-1.4,15.25,14
35,17.2,-1.4,12.25,15
36,20,-1.4,10.25,13
37,20.4,-1.6,10,13
38,21.8,-1.4,9.5,14
39,23.2,-1.6,9.75,14
40,24.2,-1.4,11,13
41,24.8,-1.6,8.5,13
42,26.2,-1.6,7.5,14
43,27,-1.6,9.75,12
44,28.2,-1.4,-10.25,14
45,43.4,0,-5.75,18
46,43.6,-14.2,24.5,2
47,44.2,0,-6,11
48,44.8,0,-5,10
49,45.2,2,-1.5,15
50,46.2,2,-2,15
51,49.6,11.6,19.25,13
52,50,1.4,3.5,13
53,50.8,1.4,2.75,15
54,52,-13.8,27,11
55,51.6,1.4,3,11
56,53.4,-14.2,24.5,13
57,54.8,11.8,18,14
58,59,-14.2,23.5,13
59,59.6,-0.2,-3.5,12
60,60.8,-1.4,7.5,14
61,61.4,-1.4,6,15
62,62.8,-1.4,6.75,14
63,65.2,-1.4,4.75,12
64,66.8,-1.4,6.25,14
65,74.8,2.4,-1.25,14
66,81.8,-13.6,31,10
67,82.8,-13.6,31,13
68,102.8,4.2,0.75,14
69,104.8,2.8,56.5,13
END,Total:70,,,
START,FrameNb:5901,,,
2020/08/09 14:16:26:187,,,,
1.60E+12,,,,
0,5.8,2.2,-20.25,18
1,5.8,2.2,-14.75,16
2,16.2,-1.4,10.25,20
3,16.2,-1.4,15.5,18
4,22.2,-1.4,7.5,21
5,22.2,-1.4,15.25,19
6,26.4,-1.4,6,20
7,43.4,0,-8.25,20
8,43.4,0,-2.25,18
9,45.2,2,-4.75,20
10,50.4,1.2,1.25,20
11,59.8,-0.2,-6,16
12,59.8,-0.2,1.5,15
13,60.6,-1.4,5.75,16
14,67.4,-1.4,7,17
15,72.4,6.4,7.75,13
16,75,2.4,0.75,18
17,88,-2,3.75,11
18,92,-15.2,-4,10
19,102.4,4.2,0,16
20,102.4,-15.2,7.5,10
21,111,-2.8,3.75,17
22,121.2,2.4,5.25,12
23,130.6,0.2,0.25,16
24,134,4,0,11
25,142.4,-15.2,7,7
26,146.8,-4.8,-5.75,8
27,172.4,-15.2,1.75,13
28,189.6,-2,4.25,16
29,1024,2.4,-17.75,15
30,6.2,2.4,-16.75,15
31,11.8,0,-30.5,24
32,12.2,0,-33.75,10
33,12.4,-63,-27.25,0
34,14.4,-11,-41,12
35,16.4,-1.4,16.25,14
36,18,-1.4,12,13
37,18,-1.4,15.5,14
38,19.8,-1.4,11.25,14
39,20.4,-1.6,9.75,14
40,21.4,-1.4,9.75,14
41,22.6,-1.6,10,14
42,23.4,-1.4,10,14
43,24.4,-1.6,9.5,13
44,25.4,-1.6,7.75,14
45,26.4,-1.6,9.25,13
46,27.2,-1.4,9.75,14
47,28.2,-1.4,-10,14
48,40.2,-14,26.25,12
49,43.4,0,-5.75,19
50,44.4,0,-6,12
51,45.2,2,-1.25,15
52,50.8,-14.4,22.5,11
53,49.8,11.8,18.25,8
54,50.2,1.4,3.25,14
55,51,1.4,2.75,15
56,51.4,-14,24.75,7
57,51.6,1.4,3.75,12
58,53.4,-14,26.25,14
59,55.2,11.8,18,12
60,58,-14.2,23.75,15
61,59.8,-0.2,-4,14
62,61,-1.4,7.5,14
63,61.6,-1.4,6.75,13
64,62.8,-1.4,6.5,13
65,65.2,-1.4,5.25,12
66,67.2,-1.4,6.25,13
67,73,6.4,9.25,13
68,74.8,2.4,-1,15
69,75.6,2.4,-2.5,12
70,87.4,-2,2.25,12
71,103,4.2,0.75,14
END,Total:72,,,
START,FrameNb:5902,,,
2020/08/09 14:16:26:250,,,,
1.60E+12,,,,
0,5.8,2.4,-14.75,16
1,5.8,2.4,-20.25,18
2,16.2,-1.4,10.25,20
3,16.2,-1.4,15.5,18
4,22.2,-1.4,7.5,21
5,22.2,-1.4,15.25,19
6,43.4,0,-8.25,20
7,43.4,0,-2.25,18
8,45.2,2,-4.75,20
9,50.4,1.2,1.25,20
10,59.8,-0.2,-6,16
11,59.8,-0.2,1.5,15
12,60.6,-1.4,5.25,18
13,67.4,-1.4,7.5,16
14,69,-14.4,20.25,6
15,73.4,6.4,8.25,14
16,75,2.4,-1.25,17
17,88,-2,1.75,15
18,92,-15.2,-7,9
19,99.8,-15,8.75,12
20,103.2,4.2,1.25,17
21,110.2,-2.8,3,17
22,121.2,2.4,4.75,13
23,130.6,0.2,2,16
24,134,3.8,0,12
25,140.8,-15.2,6,9
26,170.6,-15.2,0,15
27,189.6,-2,3.75,16
28,196.2,-15.2,-4.75,13
29,1024,2.4,-17.75,15
30,6.4,2.4,-15.5,14
31,11.8,0,-30.5,25
32,12.4,31,-26.75,7
33,12.4,4.2,-27.25,6
34,12.4,97.6,-27.5,3
35,12.2,8.2,-27,0
36,14,-10.6,-43.75,12
37,15.8,-1.4,13.75,14
38,16,-11.8,-35.75,0
39,16.8,-1.4,11.25,14
40,18.6,-1.4,12.75,15
41,19.4,-1.4,12.5,15
42,20.4,-1.4,10.75,13
43,21.4,-1.4,9.5,14
44,22.4,-1.4,10,14
45,23.8,-1.4,9,14
46,25,-1.4,9.25,13
47,26,-1.4,9.25,15
48,28,-1.4,-10.25,14
49,39.4,-14,26,13
50,43.4,0,-5.5,17
51,45.4,2,-1,15
52,50.2,1.4,1.75,13
53,50.8,1.4,3.5,12
54,49.8,-14.4,22.25,11
55,50.4,11.8,18.25,0
56,51.4,1.4,3,14
57,53,11.8,17.75,10
58,51.8,-14,24.25,12
59,53.6,11.8,18,7
60,55.4,11.8,17.75,11
61,56.2,11.8,17.5,12
62,57.2,-14.2,24,13
63,59.8,-0.2,-4.25,14
64,60.8,-1.4,5.75,15
65,61.6,-1.4,6.5,15
66,62.6,-1.4,6.25,14
67,64.6,-1.4,5.5,13
68,66.2,-1.4,6,10
69,67.8,-34.4,4.75,12
70,73.6,6.4,9,12
71,75,2.4,-0.25,15
72,103.2,4.2,0.5,14
END,Total:73,,,
START,FrameNb:5903,,,
2020/08/09 14:16:26:315,,,,
1.60E+12,,,,
0,6.8,2.4,-14.5,19
1,6.8,2.4,-19,17
2,11.8,0,-29.25,18
3,11.8,0,-34.25,15
4,16.2,-1.4,10.25,18
5,16.2,-1.4,15.5,18
6,22.2,-1.4,7.75,21
7,22.2,-1.4,15.25,19
8,24.8,-1.4,6.75,20
9,24.8,-1.4,13.5,18
10,27.2,-1.4,7.75,19
11,51.2,1.2,0.25,20
12,59.8,-0.2,-5.75,20
13,59.8,-0.2,1.25,19
14,60.6,-1.4,5.25,18
15,67.4,-1.4,7.5,16
16,73.4,6.4,8.25,14
17,75,2.4,-1.25,17
18,88,-2,1.75,15
19,92,-15,-7,9
20,97.4,-1.2,5.75,9
21,99.8,-15.2,8.75,12
22,103.2,4.2,1.25,17
23,110.2,-2.8,3,17
24,113.4,-15.2,7,10
25,115.2,-15.2,9.75,7
26,121.2,2.4,4.75,13
27,130.6,0.2,2,16
28,133,-15.2,5.25,9
29,134,3.8,0,12
30,165.6,-15.2,6,13
31,170.6,-15.2,0,15
32,172.4,-2.6,3.75,5
33,189.6,-2,3.75,16
34,196.2,-15.2,-4.75,13
35,1024,8.2,-27,0
36,6.6,2.4,-16,15
37,11.8,0,-30.25,27
38,12.6,2,-26.75,13
39,12.8,0,-26.75,16
40,14,-10.6,-45,14
41,15.6,-1.4,12,14
42,17.6,-1.4,17,15
43,16.8,-1.4,12,14
44,18.2,-1.4,11,13
45,19.4,-1.4,11.75,11
46,20.4,-1.4,9.75,13
47,21.8,-1.4,10,14
48,23,-1.4,8.75,14
49,25.2,-1.4,8.5,14
50,26.6,-1.4,9,14
51,39.4,-14,25.5,14
52,41.4,-14.2,25,9
53,42.2,-13.2,33.5,11
54,43.4,0,-5.25,18
55,43.2,11.6,19,9
56,44.8,-14.2,24.5,3
57,45.6,2,-1,15
58,50,-14.2,23,15
59,50.2,1.4,0,14
60,50.8,1.4,3.5,15
61,51.8,-13.8,27,0
62,51.2,11.8,18.75,6
63,56.4,-14.2,24.5,14
64,56.2,11.8,17.75,14
65,57,11.8,18,14
66,59.8,-0.2,-4,9
67,60.6,-1.4,5.5,14
68,61,-1.4,5.25,14
69,62.2,-1.4,5.75,13
70,63.2,-1.4,6,13
71,64.4,-1.4,5.5,13
72,65.4,-1.4,5.75,10
73,66.4,-1.4,7.25,11
74,70.4,-12.8,-28,10
75,74,6.4,9,11
76,75.2,2.6,0,14
77,103.4,4.2,0.75,13
78,105.4,2.8,57,12
END,Total:79,,,
START,FrameNb:5904,,,
2020/08/09 14:16:26:382,,,,
1.60E+12,,,,
0,6.8,2.4,-14.5,19
1,6.8,2.4,-19,17
2,16.2,-1.4,10.25,18
3,16.2,-1.4,15.5,18
4,22.2,-1.4,7.75,21
5,22.2,-1.4,15.25,19
6,24.8,-1.4,6.75,20
7,24.8,-1.4,13.5,18
8,51.2,1.2,0.25,20
9,59.8,-0.2,-5.75,20
10,59.8,-0.2,1.25,19
11,62.2,-1.4,6,15
12,67.4,-1.4,8.25,12
13,74.2,6.4,7.75,15
14,75,2.4,0,17
15,88,-2,4.25,9
16,100.6,-15.2,9.75,8
17,104,4.2,0.25,17
18,110.2,-2.8,3.75,18
19,113.4,-15.2,5.25,13
20,116.8,-14.4,22,9
21,121.2,2.4,5.25,12
22,130.6,0.2,1.25,17
23,131.4,-15.2,3.75,8
24,134.8,3.8,0,12
25,145.2,-4.8,-4,14
26,168,-15.2,-1.25,12
27,172.4,-2.6,4.25,9
28,189.6,-2.2,3.75,16
29,194.6,-15.2,-4.75,12
30,203.2,-15.2,-1.25,12
31,1024,-15.2,0,15
32,6.6,2.4,-15.5,15
33,11.8,0,-30.25,25
34,14.2,-10.8,-42.75,14
35,16,-1.4,11.5,14
36,16.4,-1.4,18,15
37,18,-1.4,13,15
38,18.4,-1.4,11,15
39,19.2,-1.4,10,14
40,20.4,-1.4,9.75,15
41,21.2,-1.4,10.75,15
42,22,-1.4,9.75,14
43,23,-1.4,9,15
44,24,-1.4,10,13
45,25.2,-1.4,8.5,14
46,26.4,-1.4,8.5,14
47,27.4,-1.4,11.5,10
48,39.8,-13.8,26,13
49,41.4,-13.2,34.5,14
50,43.4,0,-5.5,16
51,43,-14.2,24.25,10
52,44.4,11.6,18.75,11
53,45.6,2,-1,14
54,45.8,-14.2,24,1
55,47.8,-14,26,6
56,49.2,-14.2,23.5,13
57,50.2,1.4,1.75,13
58,51,-13.8,28,4
59,51,1.4,3.5,14
60,51.8,11.8,18.5,13
61,55.6,-14.2,25,13
62,57.2,11.8,16.75,11
63,57.8,11.8,17,10
64,59.8,-0.2,-4,15
65,60.4,-1.4,6,15
66,61.6,-1.4,5.75,13
67,62.6,-1.4,5.75,12
68,63.6,-1.4,6,11
69,64.6,-1.4,5.25,12
70,69.2,-13,-27.5,12
71,74.2,6.4,8.5,14
72,75.4,2.6,0.25,15
73,103.8,4.2,1.25,14
END,Total:74,,,
START,FrameNb:5905,,,
2020/08/09 14:16:26:444,,,,
1.60E+12,,,,
0,6.8,2.6,-14.25,19
1,16.2,-1.4,16,20
2,21.2,-1.4,7.5,20
3,21.2,-1.4,13.25,17
4,24.8,-1.4,6.75,20
5,24.8,-1.4,14.75,17
6,43.4,0,-8.75,19
7,43.4,0,-3,18
8,46,2,-5.25,16
9,46,2,4,13
10,59.8,-0.2,-6.25,17
11,59.8,-0.2,1,15
12,62.2,-1.4,6,15
13,67.4,-1.4,8.25,12
14,74.2,6.4,7.75,15
15,75,2.6,0,17
16,88,-2,4.25,9
17,104,4.2,0.25,17
18,110.2,-2.8,3.75,18
19,113.4,-15.2,5.25,13
20,121.2,2.4,5.25,12
21,130.6,0.4,1.25,17
22,134.8,3.6,0,12
23,168,-15.2,-1.25,12
24,172.4,-2.6,4.25,9
25,189.6,-2.2,3.75,16
26,194.6,-15.2,-4.75,12
27,203.2,-15.2,-1.25,12
28,1024,-2.2,3.75,16
29,6.8,2.6,-14.5,15
30,11.8,0,-30.5,25
31,12.4,-63.4,-27.25,0
32,12.4,28,-27.25,6
33,14.4,-11,-41.5,13
34,16.2,-1.4,17.75,15
35,16.6,-1.4,12.25,15
36,18,-1.4,13,14
37,19.2,-1.4,11.5,13
38,20.2,-1.4,9.5,13
39,21.2,-1.4,9.5,14
40,22.2,-1.4,9.75,14
41,23,-1.4,9.5,14
42,24.2,-1.4,8.75,14
43,25,-1.4,10,12
44,25.8,-1.4,8.5,12
45,26.4,-1.4,8.5,12
46,27.2,-1.4,11.25,14
47,40.4,-13,34.75,14
48,40.4,-13.8,26.5,13
49,43.4,0,-5.75,16
50,44,-14.2,24.25,4
51,45.8,2,-1,14
52,45.4,11.8,19,0
53,46,-14.2,23.5,0
54,46,11.8,19.5,11
55,47.2,-14.2,24,15
56,50.4,1.4,4,14
57,51,1.4,3.5,15
58,52.6,11.8,18,12
59,54.6,-14,25,12
60,57.2,11.8,16.25,13
61,57.6,12,15.75,13
62,58.2,11.8,16.75,13
63,59.8,-0.2,-4,13
64,60.4,-1.4,6.25,15
65,62,-1.4,6.75,14
66,62.8,-1.4,6.5,13
67,64.2,-1.4,5.25,13
68,65.2,-1.4,5.5,10
69,74.6,6.4,8,14
70,75.4,2.6,0,15
71,76.2,2.6,-1.5,12
72,104,4.2,1,14
END,Total:73,,,
START,FrameNb:5906,,,
2020/08/09 14:16:26:512,,,,
1.60E+12,,,,
0,6.8,2.6,-14.25,19
1,16.2,-1.4,16,20
2,21.2,-1.4,7.5,20
3,21.2,-1.4,13.25,17
4,24.8,-1.4,6.75,20
5,24.8,-1.4,14.75,17
6,27.2,-1.4,7.75,20
7,43.4,0,-8.75,19
8,43.4,0,-3,18
9,46,2,-5.25,16
10,46,2,4,13
11,59.8,-0.2,-6.25,17
12,59.8,-0.2,1,15
13,62.2,-1.4,5.75,18
14,66.6,-1.4,5.25,16
15,75,6.4,7.75,15
16,76,2.6,-1.75,16
17,87,-15.2,-2,8
18,87,-2,6,12
19,96.4,-15,6,8
20,104,4.2,-0.25,17
21,109.2,-2.8,2,18
22,122,2.4,4.75,10
23,122.8,-15.2,4.25,11
24,130.6,0.4,2,17
25,130.6,-15.2,6.5,1
26,134.8,3.6,0.75,13
27,161.2,-15.2,5.25,14
28,166.4,-15.2,-2,14
29,172.4,-2.6,3.5,8
30,188.8,-2.2,4.25,17
31,192.8,-15.2,-3,10
32,200.6,-15.2,-0.25,12
33,1024,-11,-41.5,13
34,6.8,2.6,-16,14
35,11.8,0,-30.25,25
36,12.4,4.4,-26.5,1
37,12.4,-27.8,-26.5,8
38,12.8,0,-27.75,20
39,14.2,-10.6,-43.5,14
40,16.2,-1.4,12.25,14
41,16.2,-1.4,18,15
42,17.8,-1.4,13.75,15
43,19,-1.4,11.25,15
44,20,-1.4,11.25,14
45,21,-1.4,10,15
46,21.8,-1.4,9.75,15
47,22.6,-1.4,9.75,15
48,24.2,-1.4,9,15
49,25.2,-1.4,9,13
50,25.8,-1.4,9.25,13
51,26.4,-1.4,8.75,15
52,36.6,-13.8,28.75,14
53,42,-14,26,14
54,43.4,0,-5.75,15
55,45.8,2,-1.25,15
56,46.2,11.8,18.75,11
57,46.8,11.8,19.75,13
58,48.2,-14,26,13
59,50.4,1.2,3.5,13
60,51.4,1.2,2.75,14
61,53.6,-14,25.25,14
62,53.6,11.8,17.75,12
63,58,11.8,15.5,12
64,58.6,11.8,16.75,7
65,59.8,-0.2,-3.75,10
66,60.6,-1.4,6.25,15
67,61.6,-1.4,7,13
68,62.2,-1.4,7.25,13
69,63.2,-1.4,5,12
70,64.8,-1.4,5.75,10
71,65.6,-14.4,21.5,12
72,67.8,-14.2,22.25,12
73,75,6.4,7.75,14
74,75.6,2.6,0,15
75,77.4,-13.2,32.75,4
76,76.6,2.6,-2,13
77,104.2,4.2,0.75,13
END,Total:78,,,
START,FrameNb:5907,,,
2020/08/09 14:16:26:572,,,,
1.60E+12,,,,
0,6.8,2.6,-16.5,20
1,6.8,2.6,-7,17
2,16.2,-1.4,16,20
3,23.8,-1.4,7.25,20
4,23.8,-1.4,13.25,18
5,27.2,-1.4,7.5,20
6,27.2,-1.4,15,18
7,43.4,0,-8.5,20
8,43.4,0,-1,18
9,51.2,1.2,0.25,20
10,51.2,1.2,8.5,19
11,62.2,-1.4,5.75,18
12,65.6,-14.4,22.5,4
13,66.6,-1.4,5.25,16
14,75,6.4,7.75,15
15,76,2.6,-1.75,16
16,87,-15.2,-2,8
17,87,-2,6,12
18,96.4,-15.2,6,8
19,104,4.2,-0.25,17
20,109.2,-2.8,2,18
21,110,-15.2,7,0
22,122,2.2,4.75,10
23,130.6,0.4,2,17
24,130.6,-15.2,6.5,1
25,134.8,3.6,0.75,13
26,161.2,-15.2,5.25,14
27,166.4,-15.2,-2,14
28,172.4,-2.6,3.5,8
29,188.8,-2.2,4.25,17
30,192.8,-15.2,-3,10
31,200.6,-15.2,-0.25,12
32,1024,-15.2,-0.25,12
33,7,2.6,-16,15
34,11.8,0,-29.75,25
35,12.4,4.4,-26.5,4
36,12.4,-28.6,-26.75,7
37,13,0,-27,9
38,14.2,5.4,-14,9
39,14.8,-1.4,12,14
40,16.6,-1.4,12.75,14
41,16,-1.4,18.75,14
42,18,-1.4,13,13
43,18.6,-1.4,12.75,13
44,20.2,-1.4,10,14
45,21.2,-1.4,10,14
46,22,-1.4,9.5,14
47,23.2,-1.4,9.5,14
48,24.6,-1.4,10,13
49,25,-1.4,9,15
50,26.2,-1.4,9.5,13
51,37.2,-13.8,28.75,15
52,41.2,-14,26.25,15
53,43.4,0,-6,12
54,47.4,-13.8,26.75,5
55,46.2,2,-1.25,14
56,47,11.8,18.75,14
57,47.6,11.8,19,10
58,50.6,1.2,2.75,15
59,51.4,1.2,3,15
60,52.6,-14,26,7
61,59.2,11.8,16.25,9
62,59.8,11.8,16.5,0
63,60.4,-1.4,6.75,14
64,61,-1.4,6,15
65,62.2,-1.4,6.75,13
66,63,-1.4,5,10
67,64.2,-1.4,5.75,11
68,64.6,-14.4,22,13
69,67.2,-12.6,-31.75,9
70,76,-13.2,33,7
71,75.4,6.4,7.75,10
72,75.8,2.6,-0.75,14
73,77,-13.2,33,8
74,77,2.6,-2.5,13
75,104.4,4.2,0.5,14
76,106,2.8,4.5,12
END,Total:77,,,
START,FrameNb:5908,,,
2020/08/09 14:16:26:639,,,,
1.60E+12,,,,
0,6.8,2.6,-16.5,20
1,6.8,2.6,-7,17
2,16.2,-1.4,16,20
3,23.8,-1.4,7.25,20
4,23.8,-1.4,13.25,18
5,27.2,-1.4,7.5,20
6,27.2,-1.4,15,18
7,43.4,0,-8.5,20
8,43.4,0,-1,18
9,51.2,1.2,0.25,20
10,51.2,1.2,8.5,19
11,60.4,11.8,13.75,0
12,61.4,-0.8,7.75,4
13,66.6,-1.4,6,16
14,75.8,6.4,7.5,16
15,76.8,2.6,10,13
16,85.2,-15,-6,8
17,87,-2,2,6
18,95.4,-15.2,10.5,12
19,105,4.2,-0.25,15
20,109.2,-2.8,3.5,18
21,122.8,2.2,-8.25,5
22,128,-15.2,5.75,9
23,130.6,0.4,0.25,17
24,130.6,-15.2,6.5,1
25,135.8,3.4,0.25,13
26,159.6,-15.2,5.25,14
27,164.6,-15.2,-0.75,15
28,171.6,-2.6,3.75,11
29,188.8,-2.2,4.25,17
30,191.2,-15,-4.75,11
31,198.8,-15.2,-0.25,13
32,1024,-15.2,-0.25,12
33,7.2,2.8,-14.5,14
34,11.8,0,-29.75,21
35,12.4,7.8,-26,0
36,12.4,100.4,-27.25,0
37,12.4,-6.8,-27.5,6
38,12.6,0,-28.75,13
39,12.6,-1.6,-27,3
40,14.8,-1.4,13,15
41,15.8,-1.4,18.5,15
42,16.6,-1.4,12,15
43,17.8,-1.4,14,15
44,18.6,-1.4,12,13
45,20.2,-1.4,10,15
46,21.2,-1.4,10,14
47,22,-1.4,9.5,14
48,22.6,-1.4,10,15
49,23.8,-1.4,10.25,15
50,24.8,-1.4,8.25,14
51,26,-1.4,9.75,15
52,33.4,-13.6,29.5,15
53,36.2,-13.6,29,15
54,40.4,-13.8,27,12
55,42.4,-14,26,12
56,43.4,0,-6,15
57,45.6,-14,25.25,15
58,46.2,2,-1.25,14
59,47.2,-13.6,30.5,8
60,47.4,11.8,19.75,15
61,48.2,11.8,18.5,14
62,50.6,1.2,2.25,14
63,51.8,-13.8,27,0
64,51.6,1.2,3.25,14
65,60.2,-1.4,7.25,15
66,60.2,11.8,17.5,9
67,61,-1.4,5.75,13
68,62.2,-1.4,6.5,14
69,63,-1.4,5.25,4
70,63.8,-14.4,22.75,15
71,63.6,-1.4,5.75,8
72,65.6,-1.4,6.25,10
73,66.4,-12.6,-32,11
74,75.2,-13.2,33.25,11
75,76,2.6,-0.75,13
76,75.8,6.4,7.75,7
77,76.8,6.4,8.75,12
78,77.2,2.6,-1.75,12
79,87.2,-13.8,28.5,14
80,104.8,4.2,0.5,13
END,Total:81,,,
START,FrameNb:5909,,,
2020/08/09 14:16:26:702,,,,
1.60E+12,,,,
0,7.6,2.8,-15.25,18
1,7.6,2.8,-10.75,17
2,15.4,-1.4,14.75,16
3,20.4,-1.4,7.25,20
4,20.4,-1.4,15,19
5,26.4,-1.4,8,19
6,43.4,0,-8.5,20
7,43.4,0,-0.5,19
8,51.2,1.2,0.25,21
9,51.2,1.2,8,19
10,59.8,-1.4,5.5,18
11,59.8,-1.4,11.25,17
12,59.8,-0.2,-5.75,13
13,60.4,11.8,13.75,0
14,61.4,-0.8,7.75,4
15,66.6,-1.4,6,16
16,75.8,6.4,7.5,16
17,76.8,2.6,10,13
18,85.2,-15.2,-6,8
19,87,-2.2,2,6
20,95.4,-15.2,10.5,12
21,105,4.2,-0.25,15
22,109.2,-2.8,3.5,18
23,122.8,2.2,-8.25,5
24,128,-15.2,5.75,9
25,130.6,0.4,0.25,17
26,130.6,-15.2,6.5,1
27,135.8,3.4,0.25,13
28,159.6,-15.2,5.25,14
29,164.6,-15.2,-0.75,15
30,171.6,-2.6,3.75,11
31,188.8,-2.2,4.25,17
32,198.8,-15.2,-0.25,13
33,1024,2.8,-14.5,14
34,7.4,2.8,-12.25,14
35,11.8,0,-30.25,22
36,12.2,8.4,-26.75,2
37,12.4,7.4,-25.75,0
38,12.6,-3.2,-26.5,5
39,15.2,-1.4,16,14
40,16.2,-1.4,17.75,15
41,17.4,-1.4,12.5,14
42,18.2,-1.4,14.25,13
43,19.2,-1.4,9.75,14
44,20.6,-1.4,10.5,14
45,21.2,-1.4,9.75,14
46,22.4,-1.4,9.75,14
47,23.2,-1.4,9.75,14
48,24.8,-1.4,9,14
49,26,-1.4,9,14
50,26.8,-1.4,10,12
51,32.6,-13.6,30,13
52,35.4,-13.6,29.5,13
53,38.6,-13.2,33,13
54,41.6,-13.8,26,11
55,43.4,-0.2,-5.5,16
