START,FrameNb:5000,,,
4,18.8,-11.2,-6.5,12
5,18.8,-11.2,1,11
6,30.8,-11.2,-5.5,20
7,30.8,-11.2,2.5,18
8,39.2,0.4,0.25,21
9,47.8,0.6,-10.25,7
10,47.8,0.6,-5.75,5
11,60.4,9,-13.25,14
12,62.4,-11.2,4.75,14
13,64.8,4,13.75,14
14,69,1.6,3.75,16
15,70,4,-1.25,13
16,70,-11.2,3.5,8
17,71.6,0.6,-4.25,14
18,71.6,1.6,1.25,12
19,76.8,-11.2,9.25,12
20,86.2,6.8,-5.75,12
21,88.8,-11.2,5.75,11
22,95.6,-11.2,7.5,13
23,98.2,-11.2,7,14
24,104.2,-11.2,-1.25,7
25,110,0.8,4.75,14
26,112,-11.2,0.25,4
27,147.6,1.6,5.25,12
28,169.2,-11.2,5.25,9
29,194,-11.2,3,10
30,1024,1.4,5.25,12
31,11.8,-11.2,-8,14
32,13.4,-11.2,-6.75,12
33,15,1,16,15
34,16.6,-11.2,-5.25,7
35,16,1,18.75,13
36,16.6,1,18.5,15
37,17.2,1,17.75,14
38,18,1,16.25,15
39,19.8,-9.4,37,15
40,21,-9.6,35.25,14
41,32.6,-11.2,-2,14
42,39,-11.2,-1.75,13
43,39.2,0.4,2,15
44,40,0.4,4.5,14
45,47.4,0.6,-8.5,12
46,49.2,-10.6,23.25,12
47,52.4,-11.2,-0.5,13
48,61.4,-11.2,1.5,13
49,61.4,9,-13.75,9
50,62.2,-11.2,-0.5,11
51,64.2,4,-5.25,12
52,65.4,4,-6.5,11
53,69.6,1.6,1.25,14
54,70.8,4,-3.75,12
55,71.8,0.6,-6,14
56,73.2,0.6,-5,14
57,74,0.6,-3.5,11
58,77,-11.2,8,11
END,Total:59,,,
START,FrameNb:5008,,,
2020/08/09 14:15:33:282,,,,
1.60E+12,,,,
0,7.8,-10.8,-7.75,16
1,7.8,-10.8,-16.25,18
2,12.8,-11.2,-9,20
3,12.8,-11.2,-1,18
4,30.8,-11.2,-5.5,20
5,30.8,-11.2,2.5,18
6,39.2,0.4,0.25,21
7,47.8,0.6,-10.25,7
8,47.8,0.6,-5.75,5
9,55.6,-11.2,-3.5,20
10,55.6,-11.2,4.5,18
11,61.6,-11.2,-1.25,14
12,62.2,9,-14,6
13,64.8,4,-4,16
14,67.4,-11,9.75,13
15,70,1.6,0.25,15
16,70.8,4,0.25,11
17,71.6,0.6,-4.25,16
18,77.8,-11.2,5.75,17
19,86.2,-11.2,7.75,12
20,94.8,-11.2,7.5,15
21,97.4,-11.2,6.5,14
22,110,0.8,-0.25,14
23,110.2,-11.2,0.75,7
24,147.6,1.6,5.25,17
25,167.4,-11.2,5.75,10
26,1024,-11.2,0.25,4
27,10.4,-11,-9.5,15
28,12.2,-11,-8,13
29,15,1,16,14
30,16,1,19.25,13
31,16.8,1,18,14
32,17.2,1,17.5,13
33,18,1,16.25,14
34,19.8,-9.4,36.75,15
35,29,-10.6,23,12
36,33.8,-11.2,-1.75,13
37,38.6,-11.2,-1.5,14
38,39.2,0.4,2,15
39,40,0.4,3.75,13
40,47.4,0.6,-8,14
41,48.6,-10.6,23.75,11
42,53.4,-11.2,-0.75,12
43,60.6,-11.2,0,12
44,61.6,-11.2,-0.25,13
45,61.8,9,-13.25,13
46,63.8,-11.2,2.25,13
47,64.4,4,-5.25,14
48,69.6,1.6,1,14
49,70.6,4,-2.5,13
50,71.8,0.6,-4.75,14
51,73.2,0.6,-5.25,14
52,74,0.6,-3,10
53,76.4,-11.2,8,11
END,Total:54,,,
START,FrameNb:5009,,,
2020/08/09 14:15:33:335,,,,
1.60E+12,,,,
0,33.4,-11.2,-4.75,19
1,33.4,-11.2,1,17
2,37.6,-11.2,-5.25,15
3,39.2,0.4,0.25,20
4,39.2,0.4,9,18
5,47.8,0.6,-10.75,19
6,47.8,0.6,-5,18
7,59,-11,8.75,18
8,61.6,-11.2,-1.25,14
9,62.2,9,-14,6
10,63.2,-11,-1.25,15
11,64.8,4,-4,16
12,67.4,-11.2,9.75,13
13,70,1.6,0.25,15
14,70.8,4,0.25,11
15,71.6,0.6,-4.25,16
16,77.8,-11.2,5.75,17
17,86.2,-11.2,7.75,12
18,94.8,-11.2,7.5,15
19,97.4,-11.2,6.5,14
20,110,0.8,-0.25,14
21,110.2,-11.2,0.75,7
22,111.8,0.8,2.5,16
23,117.8,-11.2,0.75,10
